Keyword,Rank,Date,Time,Portal
포방터 돈까스,1,190204,1742,naver
골목식당 해방촌 횟집,2,190204,1742,naver
해방촌,3,190204,1742,naver
팔라우,4,190204,1742,naver
러블리즈,5,190204,1742,naver
클라라,6,190204,1742,naver
최현우 쇼호스트,7,190204,1742,naver
더 이퀄라이저,8,190204,1742,naver
김새론,9,190204,1742,naver
그대 이름은 장미,10,190204,1742,naver
김보연,11,190204,1742,naver
아육대,12,190204,1742,naver
어벤져스4,13,190204,1742,naver
2019 아육대,14,190204,1742,naver
이대 라멘집,15,190204,1742,naver
롯데백화점 휴무일,16,190204,1742,naver
도라지볶음,17,190204,1742,naver
아이언맨,18,190204,1742,naver
이미주,19,190204,1742,naver
고사리나물볶음,20,190204,1742,naver
